제목, 저자
82년생 김지영,조남주
미움받을 용기,기시미 이치로 전경아
도파민형 인간,대니얼 Z. 리버먼마이클 E. 롱
사피엔스,유발 하라리 조현욱
90년생이 온다,임홍택
멋진 신세계,올더스 헉슬리 안정효
물 만난 물고기,이찬혁
열정은 쓰레기다,스콧 애덤스 고유라
쓰레기처럼 사랑하라,김달
인간 본성의 법칙,로버트 그린 이지연
베스트 셀프,마이크 베이어 강주헌
설민석의 삼국지 1,설민석
자존감 수업,윤홍균
50부터는 인생관을 바꿔야 산다,사이토 다카시 황혜숙
봉제인형 살인사건,다니엘 콜 유혜인
상식 밖의 부자들,루이스 쉬프
아주 작은 습관의 힘,제임스 클리어 이한이
밀크맨,애나 번스 홍한별
부의 지각변동,박종훈
나는 나로 살기로 했다,김수현
뒤통수의 심리학,마리아 코니코바 이수경
여행의 이유,김영하
사일런트 페이션트,알렉스 마이클리디스 남명성
프레디쿠스,임영익
사라진 스푼,샘 킨 이충호
카를 융 기억 꿈 사상,칼 구스타브 융 조성기
워런 버핏의 주주서한,워런 버핏 이건
치아문단순적소미호 2,자오첸첸 남혜선
안나 카레니나 세트,레프 톨스토이 박형규
너라는 계절,김지훈
기억 전달자,로이스 로우리
터틀 트레이딩,마이클 코벨 오인석
사업을 한다는 것,레이 크록 이영래
하버드 상위 1퍼센트의 비밀,정주영
우울할 땐 뇌과학,알렉스 코브 정지인
플랫폼 제국의 미래,스콧 갤러웨이 이경식
초격차,권오현
19금 그레이의 50가지 그림자 2,E L 제임스 박은서
부동산경매 무작정 따라하기,이현정
중국 경제,아서 크뢰버 도지영
뒤통수의 심리학,마리아 코니코바 이수경
여행의 이유,김영하
사일런트 페이션트,알렉스 마이클리디스 남명성
프레디쿠스,임영익
사라진 스푼,샘 킨 이충호
카를 융 기억 꿈 사상,칼 구스타브 융 조성기
워런 버핏의 주주서한,워런 버핏 이건
치아문단순적소미호 2,자오첸첸 남혜선
안나 카레니나 세트,레프 톨스토이 박형규
너라는 계절,김지훈
기억 전달자,로이스 로우리
터틀 트레이딩,마이클 코벨 오인석
사업을 한다는 것,레이 크록 이영래
하버드 상위 1퍼센트의 비밀,정주영
우울할 땐 뇌과학,알렉스 코브 정지인
플랫폼 제국의 미래,스콧 갤러웨이 이경식
초격차,권오현
19금 그레이의 50가지 그림자 2,E L 제임스 박은서
부동산경매 무작정 따라하기,이현정
중국 경제,아서 크뢰버 도지영
뒤통수의 심리학,마리아 코니코바 이수경
여행의 이유,김영하
사일런트 페이션트,알렉스 마이클리디스 남명성
프레디쿠스,임영익
사라진 스푼,샘 킨 이충호
카를 융 기억 꿈 사상,칼 구스타브 융 조성기
워런 버핏의 주주서한,워런 버핏 이건
치아문단순적소미호 2,자오첸첸 남혜선
안나 카레니나 세트,레프 톨스토이 박형규
너라는 계절,김지훈
기억 전달자,로이스 로우리
터틀 트레이딩,마이클 코벨 오인석
사업을 한다는 것,레이 크록 이영래
하버드 상위 1퍼센트의 비밀,정주영
우울할 땐 뇌과학,알렉스 코브 정지인
플랫폼 제국의 미래,스콧 갤러웨이 이경식
초격차,권오현
19금 그레이의 50가지 그림자 2,E L 제임스 박은서
부동산경매 무작정 따라하기,이현정
중국 경제,아서 크뢰버 도지영
뒤통수의 심리학,마리아 코니코바 이수경
여행의 이유,김영하
사일런트 페이션트,알렉스 마이클리디스 남명성
프레디쿠스,임영익
사라진 스푼,샘 킨 이충호
카를 융 기억 꿈 사상,칼 구스타브 융 조성기
워런 버핏의 주주서한,워런 버핏 이건
치아문단순적소미호 2,자오첸첸 남혜선
안나 카레니나 세트,레프 톨스토이 박형규
너라는 계절,김지훈
기억 전달자,로이스 로우리
터틀 트레이딩,마이클 코벨 오인석
사업을 한다는 것,레이 크록 이영래
하버드 상위 1퍼센트의 비밀,정주영
우울할 땐 뇌과학,알렉스 코브 정지인
플랫폼 제국의 미래,스콧 갤러웨이 이경식
초격차,권오현
19금 그레이의 50가지 그림자 2,E L 제임스 박은서
부동산경매 무작정 따라하기,이현정
중국 경제,아서 크뢰버 도지영
